Latitude,Longitude,mean_U,mean_V
16.4418,-66.5982,-0.1134684684684684,-0.1482432432432432
16.4418,-66.5425,-0.0983268482490272,-0.1498832684824902
16.4418,-66.4867,-0.1196132596685082,-0.162817679558011
16.4418,-66.431,-0.10985148514851481,-0.1600990099009901
16.4418,-66.3752,-0.0766108786610878,-0.1588284518828452
16.4418,-66.3195,-0.0763157894736842,-0.1542543859649122
16.4418,-66.2638,-0.1285314685314685,-0.1752447552447552
16.4418,-66.208,-0.0312217194570135,-0.1269683257918551
16.4418,-66.1523,-0.0668309859154929,-0.1476760563380281
16.4418,-66.0965,-0.0486144578313253,-0.1423493975903614
16.4418,-66.0408,0.0595275590551181,-0.0704724409448818
16.4418,-65.9851,8.196721311475417e-05,-0.0585245901639344
16.4418,-65.9293,0.0323770491803278,-0.0354918032786885
16.4418,-65.8736,0.081734693877551,-0.0021428571428571
16.4958,-67.3228,-0.0211940298507462,-0.0010447761194029
16.4958,-67.1556,-0.112457627118644,-0.0296610169491525
16.4958,-67.0999,-0.0870138888888888,-0.070625
16.4958,-67.0441,-0.1102127659574468,-0.0671808510638297
16.4958,-66.9884,-0.11965714285714281,-0.0869142857142857
16.4958,-66.9326,-0.10541935483870958,-0.0967096774193548
16.4958,-66.8769,-0.0954017857142857,-0.10375
16.4958,-66.8212,-0.1283261802575107,-0.1156652360515021
16.4958,-66.7654,-0.1176393442622951,-0.1197377049180328
16.4958,-66.7097,-0.1024838709677419,-0.1249032258064516
16.4958,-66.6539,-0.0984887459807073,-0.1322186495176849
16.4958,-66.5982,-0.1078799999999999,-0.13824
16.4958,-66.5425,-0.0872659176029962,-0.1431086142322097
16.4958,-66.4867,-0.0881040892193308,-0.1462825278810409
16.4958,-66.431,-0.1056353591160221,-0.1549723756906077
16.4958,-66.3752,-0.0758113207547169,-0.1548679245283019
16.4958,-66.3195,-0.0577272727272727,-0.1432272727272727
16.4958,-66.2638,-0.0889696969696969,-0.1552121212121212
16.4958,-66.208,-0.0319409282700422,-0.1237552742616033
16.4958,-66.1523,-0.0339999999999999,-0.125375
16.4958,-66.0965,-0.0600675675675675,-0.1416891891891891
16.4958,-66.0408,0.0189017341040462,-0.0661849710982659
16.4958,-65.9851,0.0379518072289156,-0.0401204819277108
16.4958,-65.9293,0.0442446043165467,-0.0253956834532374
16.4958,-65.8736,0.096574074074074,0.013981481481481402
16.5497,-67.3786,-0.0210144927536231,0.0036231884057971
16.5497,-67.3228,-0.0191935483870967,-0.0116129032258064
16.5497,-67.2671,-0.0658709677419354,-0.0201290322580645
16.5497,-67.2113,-0.1495833333333333,-0.0075
16.5497,-67.1556,-0.1216279069767441,-0.0372868217054263
16.5497,-67.0999,-0.1089592760180995,-0.0575565610859728
16.5497,-67.0441,-0.1156249999999999,-0.0749107142857142
16.5497,-66.9884,-0.1108403361344537,-0.0860084033613445
16.5497,-66.9326,-0.1208119658119658,-0.0984188034188034
