Latitude,Longitude,mean_U,mean_V,Speed,unit_U,unit_V
16.4958,-65.9851,0.037951807,-0.040120482,0.055226739,0.687199854,-0.726468417
16.4958,-65.9293,0.044244604,-0.025395683,0.051014956,0.867286923,-0.497808591
16.4958,-65.8736,0.096574074,0.013981481,0.097580908,0.98968206,0.143280912
16.5497,-67.3786,-0.021014493,0.003623188,0.021324549,-0.985460116,0.169906917
16.5497,-67.3228,-0.019193548,-0.011612903,0.022433275,-0.855583882,-0.517664197
16.5497,-67.2671,-0.065870968,-0.020129032,0.06887788,-0.956344299,-0.292242332
16.5497,-67.2113,-0.149583333,-0.0075,0.149771238,-0.998745392,-0.050076371
16.5497,-67.1556,-0.121627907,-0.037286822,0.127214995,-0.956081533,-0.29310084
16.5497,-67.0999,-0.108959276,-0.057556561,0.123226951,-0.884216275,-0.4670777
16.5497,-67.0441,-0.115625,-0.074910714,0.137770664,-0.839257045,-0.543734873
16.5497,-66.9884,-0.110840336,-0.086008403,0.140296207,-0.79004514,-0.613048674
16.5497,-66.9326,-0.120811966,-0.098418803,0.155826159,-0.775299643,-0.63159359
16.5497,-66.8769,-0.100369231,-0.106953846,0.146673473,-0.684303908,-0.729196929
16.5497,-66.8212,-0.103639053,-0.111893491,0.152516251,-0.679527938,-0.733649632
16.5497,-66.7654,-0.124110672,-0.117588933,0.170969635,-0.725922308,-0.687776709
16.5497,-66.7097,-0.089057751,-0.124924012,0.153418681,-0.580488308,-0.814268582
16.5497,-66.6539,-0.093343465,-0.127537994,0.158047279,-0.590604696,-0.806961023
16.5497,-66.5982,-0.096123779,-0.130716612,0.16225478,-0.592424942,-0.80562565
16.5497,-66.5425,-0.085,-0.13647651,0.160781957,-0.528666285,-0.848829759
16.5497,-66.4867,-0.085213115,-0.138786885,0.162859063,-0.523232254,-0.852190124
16.5497,-66.431,-0.067419355,-0.138516129,0.154052223,-0.43763961,-0.899150472
16.5497,-66.3752,-0.070491803,-0.143147541,0.15956288,-0.441780714,-0.897123069
16.5497,-66.3195,-0.057985612,-0.138489209,0.150138576,-0.386213943,-0.922409231
16.5497,-66.2638,-0.035039063,-0.118632813,0.123699152,-0.28326033,-0.959043057
16.5497,-66.208,-0.024339623,-0.109849057,0.112513255,-0.216326714,-0.97632103
16.5497,-66.1523,0.01039823,-0.089513274,0.090115201,0.115388192,-0.993320475
16.5497,-66.0965,0.01685259,-0.084103586,0.085775421,0.196473411,-0.980509153
16.5497,-66.0408,-0.002578947,-0.062052632,0.0621062,-0.041524797,-0.999137474
16.5497,-65.9851,0.056827957,-0.016397849,0.059146481,0.960800312,-0.277241339
16.5497,-65.9293,0.055112782,-0.011428571,0.056285264,0.979168928,-0.203047308
16.5497,-65.8736,0.062095238,0.011333333,0.063121019,0.983748981,0.179549277
16.5497,-65.8178,0.038953488,0.045116279,0.059605813,0.653518284,0.756910729
16.5497,-65.7621,0.135921053,0.113421053,0.177027873,0.767794645,0.640696015
16.6037,-67.49,0.025517241,0.008275862,0.026825725,0.951222819,0.308504698
16.6037,-67.3228,-0.073225806,-0.012043011,0.07420952,-0.986744108,-0.162283906
16.6037,-67.2671,-0.078480392,-0.021470588,0.081364354,-0.964554971,-0.263881997
16.6037,-67.2113,-0.05481203,-0.029774436,0.062376884,-0.878723437,-0.47733125
16.6037,-67.1556,-0.134166667,-0.016388889,0.135163938,-0.992621765,-0.121251934
16.6037,-67.0999,-0.127605042,-0.057689076,0.140039552,-0.911207155,-0.411948444
16.6037,-67.0441,-0.126419753,-0.067037037,0.143094089,-0.883472923,-0.468482224
16.6037,-66.9884,-0.112204969,-0.085124224,0.140840649,-0.796680287,-0.60440096
16.6037,-66.8769,-0.105112994,-0.106525424,0.149654293,-0.702372061,-0.711810008
16.6037,-66.8212,-0.099854651,-0.107180233,0.146487384,-0.681660417,-0.731668692
16.6037,-66.7654,-0.09552356,-0.116230366,0.15044683,-0.634932356,-0.772567734
16.6037,-66.7097,-0.080771429,-0.123742857,0.147771169,-0.546598021,-0.837395129
16.6037,-66.6539,-0.081657143,-0.123314286,0.147899635,-0.552111862,-0.833770047
16.6037,-66.5982,-0.082288828,-0.12719346,0.151491345,-0.543191614,-0.83960876
